CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Female,58,38,72
2,Female,19,107,44
3,Female,40,92,76
4,Male,19,22,2
5,Male,63,17,13
6,Female,25,80,86
7,Female,32,46,42
8,Male,62,87,42
9,Male,37,99,72
10,Male,49,137,6
11,Female,28,67,89
12,Female,59,63,8
13,Female,55,105,10
14,Female,56,107,82
15,Female,36,109,17
16,Male,58,39,78
17,Female,28,24,77
18,Male,69,119,38
19,Male,20,97,86
20,Male,49,42,14
21,Female,56,63,66
22,Male,57,41,80
23,Female,50,82,59
24,Male,22,64,20
25,Female,43,74,4
26,Female,42,66,52
27,Female,57,89,49
28,Female,61,15,89
29,Female,32,23,67
30,Female,29,92,95
31,Female,38,110,13
32,Female,36,117,10
33,Female,23,38,60
34,Male,54,113,45
35,Female,53,88,29
36,Female,54,86,12
37,Male,29,38,8
38,Female,18,94,65
39,Female,59,124,95
40,Female,68,85,52
41,Male,39,19,84
42,Male,69,21,21
43,Female,50,50,47
44,Male,21,136,16
45,Female,29,62,66
46,Female,59,104,1
47,Female,65,68,83
48,Male,19,101,80
49,Female,63,24,98
50,Female,30,82,26
51,Male,64,37,87
52,Male,50,120,21
53,Male,56,64,93
54,Female,63,88,13
55,Female,22,58,71
56,Male,36,120,48
57,Female,24,61,90
58,Male,69,129,40
59,Male,36,38,91
60,Female,20,84,3
61,Male,65,90,30
62,Male,24,42,10
63,Female,27,139,68
64,Male,65,25,46
65,Female,67,126,12
66,Male,45,20,40
67,Male,67,85,33
68,Female,46,113,29
69,Male,50,78,71
70,Female,55,43,94
71,Female,30,109,28
72,Male,30,30,64
73,Male,63,107,14
74,Male,68,58,78
75,Female,44,122,50
76,Female,33,35,54
77,Female,22,95,28
78,Male,32,91,45
79,Male,65,128,78
80,Male,53,109,53
81,Female,46,136,62
82,Male,21,116,89
83,Male,29,125,86
84,Female,38,50,80
85,Male,50,104,89
86,Male,53,124,7
87,Female,55,108,53
88,Female,44,98,21
89,Male,37,30,25
90,Male,30,25,48
91,Female,24,37,27
92,Female,67,31,35
93,Female,50,66,25
94,Female,61,35,84
95,Male,43,65,48
96,Female,19,41,75
97,Female,65,19,85
98,Female,57,17,77
99,Female,26,111,94
100,Female,39,95,53
101,Female,63,39,90
102,Female,34,104,39
103,Female,21,70,79
104,Male,50,127,21
105,Male,61,116,20
106,Male,33,138,90
107,Male,24,52,29
108,Female,32,137,57
109,Male,56,62,51
110,Female,37,104,49
111,Male,46,68,4
112,Male,46,88,28
113,Female,26,78,3
114,Female,41,106,82
115,Male,66,90,78
116,Male,35,87,47
117,Female,60,93,77
118,Female,44,74,60
119,Male,38,29,13
120,Male,63,135,55
121,Male,48,98,81
122,Male,36,121,19
123,Male,23,99,14
124,Male,63,113,72
125,Female,35,81,7
126,Female,54,89,25
127,Female,39,90,80
128,Female,59,139,40
129,Female,42,35,21
130,Male,38,121,48
131,Male,34,46,1
132,Female,57,111,25
133,Male,42,34,26
134,Male,32,42,59
135,Male,52,71,63
136,Male,22,61,8
137,Female,54,80,51
138,Male,40,68,86
139,Male,49,117,92
140,Male,18,102,27
141,Male,49,92,15
142,Female,58,92,97
143,Male,44,105,93
144,Male,59,45,77
145,Female,34,104,35
146,Male,30,78,32
147,Male,39,101,23
148,Male,59,137,25
149,Female,47,122,89
150,Female,59,78,77
151,Male,59,18,23
152,Male,47,131,82
153,Female,52,34,63
154,Female,69,28,11
155,Female,60,60,12
156,Male,44,139,14
157,Male,35,135,63
158,Female,50,56,7
159,Female,61,19,35
160,Male,23,96,26
161,Female,32,123,85
162,Male,28,95,3
163,Female,56,99,94
164,Male,69,90,16
165,Male,26,100,58
166,Male,65,117,51
167,Female,25,85,37
168,Female,40,90,65
169,Female,63,45,30
170,Female,18,105,21
171,Female,44,61,81
172,Female,28,83,50
173,Female,30,22,60
174,Female,60,81,92
175,Female,28,37,58
176,Male,60,48,86
177,Male,32,41,41
178,Male,63,76,1
179,Female,28,51,84
180,Female,36,73,48
181,Male,60,69,1
182,Male,69,124,79
183,Male,48,98,42
184,Female,50,118,80
185,Female,47,95,50
186,Female,68,79,25
187,Male,52,126,28
188,Female,54,91,13
189,Female,21,112,24
190,Male,26,50,21
191,Female,65,41,99
192,Male,46,112,35
193,Male,22,46,98
194,Male,61,77,69
195,Male,26,31,74
196,Female,18,78,4
197,Female,63,132,34
198,Male,58,139,98
199,Female,23,22,74
200,Female,39,42,46
